# node id    kappa                theta                r                    x                    y                    z                    name                          
173          18.8002              4.51353              8.72849              143.093057607        162.311669129        27.1107828656        lh_middletemporal_1_1         
174          17.337               4.51521              8.89054              95.6907706946        155.435775452        67.5404376784        lh_precentral_4_7             
175          28.759               4.53283              7.87833              121.781400966        164.980676329        22.2439613527        lh_middletemporal_1_2         
176          20.3196              4.57606              8.57306              150.973525872        152.419975933        45.7244283995        lh_inferiorparietal_2_3       
177          19.2623              4.60453              8.67993              124.913227513        160.624338624        11.0867724868        lh_inferiortemporal_2_3       
178          26.891               4.63026              8.01264              155.19223301         154.254368932        57.632038835         lh_inferiorparietal_2_5       
179          22.1566              4.6468               8.39996              156.768945022        150.845468053        37.9613670134        lh_inferiorparietal_1_2       
180          40.7385              4.65508              7.18188              142.22761194         159.640858209        14.9356343284        lh_inferiortemporal_2_4       
181          36.2327              4.77895              7.4163               117.343065693        159.37810219         36.5284671533        lh_superiortemporal_1_2       
182          22.3717              4.7869               8.38063              111.001795332        151.052064632        37.4955116697        lh_transversetemporal_1_1     
183          27.4826              4.80563              7.96912              175.100950119        146.603325416        36.2850356295        lh_inferiorparietal_1_1       
184          32.5327              4.80682              7.63174              159.712454212        153.090659341        23.1227106227        lh_lateraloccipital_2_4       
185          34.5774              4.80953              7.50982              103.017924528        164.759433962        17.2283018868        lh_middletemporal_2_3         
186          35.6336              4.81376              7.44965              104.913774974        163.173501577        30.3533123028        lh_superiortemporal_2_3       
187          34.6572              4.81813              7.50522              143.922868742        147.50338295         10.3031123139        lh_fusiform_1_2               
188          25.5204              4.82989              8.11727              110.168367347        156.602040816        8.51913265306        lh_inferiortemporal_1_2       
189          44.1246              4.9312               7.02219              92.9427036705        156.739480752        29.4610564011        lh_superiortemporal_2_4       
190          42.0384              4.94592              7.11906              130.54351145         139.972519084        12.0625954198        lh_fusiform_2_3               
191          44.4199              4.96481              7.00885              174.035532995        133.067258883        42.3388324873        lh_superiorparietal_3_6       
192          36.8245              4.98942              7.3839               105.626025791        144.805392732        7.87104337632        lh_fusiform_2_4               
193          23.1346              5.04323              8.31357              170.503800217        142.947882736        8.332247557          lh_lateraloccipital_2_5       
194          31.6909              5.09022              7.68417              177.646398503        141.945743686        17.5229186155        lh_lateraloccipital_2_3       
195          66.5326              5.10468              6.20084              80.5054704595        160.111597374        9.21663019694        lh_middletemporal_2_4         
